Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,102.0199966430664,102.58000183105469,101.5999984741211,102.44999694824219,99.53182983398438,391700
2021-09-09,102.54000091552734,104.0199966430664,102.19000244140625,103.33000183105469,100.38677215576172,481800
2021-09-10,104.23999786376953,104.23999786376953,102.12999725341797,102.6500015258789,99.72614288330078,653200
2021-09-13,103.5,103.5,102.06999969482422,102.75,99.82328033447266,511300
2021-09-14,103.18000030517578,103.43000030517578,101.54000091552734,101.79000091552734,98.890625,647600
2021-09-15,102.0,104.0,101.45999908447266,103.79000091552734,100.83366394042969,643700
2021-09-16,104.27999877929688,104.44000244140625,102.69999694824219,102.94999694824219,100.01758575439453,439500
2021-09-17,102.30999755859375,102.87999725341797,100.72000122070312,101.05999755859375,98.18143463134766,1164500
2021-09-20,99.26000213623047,100.80000305175781,98.19999694824219,100.69000244140625,97.82197570800781,597300
2021-09-21,101.69999694824219,101.69999694824219,99.63999938964844,100.30000305175781,97.44307708740234,607600
2021-09-22,100.98999786376953,101.73999786376953,99.4800033569336,100.94999694824219,98.0745620727539,847000
2021-09-23,101.55000305175781,103.86000061035156,101.55000305175781,102.5999984741211,99.67755889892578,494300
2021-09-24,102.2300033569336,103.80999755859375,102.12000274658203,103.16000366210938,100.22161865234375,377900
2021-09-27,103.37000274658203,104.16000366210938,102.8499984741211,103.2699966430664,100.32847595214844,345400
2021-09-28,102.94999694824219,103.69999694824219,102.29000091552734,102.33000183105469,99.41525268554688,659500
2021-09-29,102.73999786376953,103.19999694824219,102.04000091552734,102.54000091552734,99.61927032470703,503500
2021-09-30,102.86000061035156,103.0199966430664,100.11000061035156,100.33000183105469,97.47221374511719,1223400
2021-10-01,100.7699966430664,103.7699966430664,100.01000213623047,103.38999938964844,100.44506072998047,576600
2021-10-04,103.05000305175781,103.97000122070312,101.63999938964844,102.58999633789062,99.66783905029297,1033300
2021-10-05,103.27999877929688,104.93000030517578,102.44999694824219,104.02999877929688,101.06683349609375,898500
2021-10-06,102.79000091552734,103.93000030517578,101.19999694824219,103.72000122070312,100.76565551757812,596700
2021-10-07,104.62000274658203,107.37999725341797,104.62000274658203,107.13999938964844,104.08824157714844,693500
2021-10-08,106.97000122070312,109.54000091552734,106.97000122070312,109.0999984741211,105.99241638183594,706200
2021-10-11,109.12999725341797,111.0999984741211,107.87000274658203,108.02999877929688,104.9529037475586,742500
2021-10-12,108.16000366210938,108.52999877929688,105.76000213623047,105.9800033569336,102.96129608154297,806400
